                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.76996,                 2.2517,                 1.3131,                 1.2747,                0.58758,                0.61694,                0.69015,                0.55823,                0.76624,                0.48853,                0.55881,                0.33749,                0.85523,                 2.9064,                 1.8786,                 1.4365,             5.6172e-05,             5.6172e-05,             5.6172e-05
                     43,                0.75162,                 2.1761,                 1.2775,                 1.2618,                0.71131,                0.61086,                0.67699,                0.54734,                0.82491,                 0.4943,                0.55841,                0.33297,                0.85741,                 2.9512,                 1.8815,                 1.4311,             5.5251e-05,             5.5251e-05,             5.5251e-05
                     44,                 0.7753,                 2.2594,                 1.2908,                 1.2754,                0.88263,                0.54794,                0.69263,                0.56941,                0.76386,                0.49957,                0.58187,                0.32939,                0.84248,                 3.0372,                 1.8991,                 1.4416,             5.4331e-05,             5.4331e-05,             5.4331e-05
                     45,                 0.7649,                 2.2762,                 1.2685,                 1.2546,                0.57215,                 0.6971,                0.70566,                0.58496,                0.73837,                0.53142,                0.58589,                0.32731,                0.85153,                 3.0955,                 1.8877,                 1.4723,              5.341e-05,              5.341e-05,              5.341e-05
                     46,                0.78496,                  2.274,                 1.2868,                 1.2711,                0.63243,                0.63417,                0.69972,                0.56492,                0.74795,                0.52656,                0.54887,                0.31519,                0.88877,                 2.9541,                 1.8534,                 1.4749,             5.2489e-05,             5.2489e-05,             5.2489e-05
                     47,                0.77792,                 2.2948,                 1.2783,                 1.2646,                0.64771,                0.66963,                0.71504,                0.57294,                0.77354,                0.50734,                0.57095,                0.33035,                 0.9049,                 2.9849,                 1.9313,                   1.49,             5.1568e-05,             5.1568e-05,             5.1568e-05
                     48,                0.75345,                 2.2355,                 1.2474,                 1.2346,                0.72092,                0.61543,                0.70519,                0.57291,                0.62727,                0.50573,                0.54896,                 0.3297,                 0.8746,                 2.9537,                 1.8965,                 1.4696,             5.0648e-05,             5.0648e-05,             5.0648e-05
                     49,                0.74326,                 2.2146,                 1.2377,                 1.2387,                0.68057,                0.67209,                0.71691,                0.58541,                0.82045,                0.49974,                 0.5712,                0.33081,                 0.8664,                 2.9296,                 1.8721,                 1.4876,             4.9727e-05,             4.9727e-05,             4.9727e-05
                     50,                0.74062,                 2.1707,                 1.2306,                 1.2354,                0.66084,                0.64043,                0.70564,                0.58208,                0.80279,                0.50999,                0.56167,                0.33984,                0.87208,                 3.0356,                 1.8185,                 1.4784,             4.8806e-05,             4.8806e-05,             4.8806e-05
                     51,                0.76402,                 2.2952,                  1.226,                 1.2458,                0.70744,                0.60417,                0.69163,                0.56371,                0.59621,                0.53244,                0.54829,                0.33063,                 0.8719,                 3.0195,                 1.8304,                 1.4533,             4.7886e-05,             4.7886e-05,             4.7886e-05
